"Compound","DTXSID","CAS","Species","Reference","Species.Weight","Species.Weight.Units","Dose","Time","Time.Units","Media","Media.Units","Value","Units","Route","Source","LOQ","Subject","info","iv","Time.Days","Max.Time.Days","Time.Steps.PerHour","N.Obs.Ref","Usable","kelim","Vdist","Fgutabs","kgutabs","V1","Ralphatokelim","Fbetaofalpha"
"theanine","DTXSID80184817","3081-61-6","rat","13346",0.24382653,"kg",250,0.25,"hr","blood","normalized",278.699,NA,"po",24983,3.1074525,NA,NA,FALSE,0.0104166666666667,0.25,4,12,TRUE,0.25,5.56,1,2.19,1,1.2,0.8
"theanine","DTXSID80184817","3081-61-6","rat","13346",0.24382653,"kg",250,0.5,"hr","blood","normalized",525.972,NA,"po",24983,3.1074525,NA,NA,FALSE,0.0208333333333333,0.25,4,12,TRUE,0.25,5.56,1,2.19,1,1.2,0.8
"theanine","DTXSID80184817","3081-61-6","rat","13346",0.24382653,"kg",250,1,"hr","blood","normalized",548.301,NA,"po",24983,3.1074525,NA,NA,FALSE,0.0416666666666667,0.25,4,12,TRUE,0.25,5.56,1,2.19,1,1.2,0.8
"theanine","DTXSID80184817","3081-61-6","rat","13346",0.24382653,"kg",250,2,"hr","blood","normalized",230.733,NA,"po",24983,3.1074525,NA,NA,FALSE,0.0833333333333333,0.25,4,12,TRUE,0.25,5.56,1,2.19,1,1.2,0.8
"theanine","DTXSID80184817","3081-61-6","rat","13346",0.24382653,"kg",250,4,"hr","blood","normalized",59.9575,NA,"po",24983,3.1074525,NA,NA,FALSE,0.166666666666667,0.25,4,12,TRUE,0.25,5.56,1,2.19,1,1.2,0.8
"theanine","DTXSID80184817","3081-61-6","rat","13346",0.24382653,"kg",250,6,"hr","blood","normalized",6.90545,NA,"po",24983,3.1074525,NA,NA,FALSE,0.25,0.25,4,12,TRUE,0.25,5.56,1,2.19,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",74,"kg",3.378378,0.16666,"hr","blood","normalized",2.67,NA,"iv",14,0.036,NA,NA,TRUE,0.00694416666666667,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",74,"kg",3.378378,0.33333,"hr","blood","normalized",1.26,NA,"iv",14,0.036,NA,NA,TRUE,0.01388875,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",74,"kg",3.378378,0.66666,"hr","blood","normalized",0.91,NA,"iv",14,0.036,NA,NA,TRUE,0.0277775,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",74,"kg",3.378378,1,"hr","blood","normalized",0.67,NA,"iv",14,0.036,NA,NA,TRUE,0.0416666666666667,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",74,"kg",3.378378,1.5,"hr","blood","normalized",0.51,NA,"iv",14,0.036,NA,NA,TRUE,0.0625,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",74,"kg",3.378378,2,"hr","blood","normalized",0.37,NA,"iv",14,0.036,NA,NA,TRUE,0.0833333333333333,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",74,"kg",3.378378,3,"hr","blood","normalized",0.24,NA,"iv",14,0.036,NA,NA,TRUE,0.125,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",74,"kg",3.378378,4,"hr","blood","normalized",0.13,NA,"iv",14,0.036,NA,NA,TRUE,0.166666666666667,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",75,"kg",3.378378,0.16666,"hr","blood","normalized",2.92,NA,"iv",14,0.036,NA,NA,TRUE,0.00694416666666667,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",75,"kg",3.378378,0.33333,"hr","blood","normalized",1.91,NA,"iv",14,0.036,NA,NA,TRUE,0.01388875,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",75,"kg",3.378378,0.66666,"hr","blood","normalized",1.09,NA,"iv",14,0.036,NA,NA,TRUE,0.0277775,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",75,"kg",3.378378,1,"hr","blood","normalized",0.74,NA,"iv",14,0.036,NA,NA,TRUE,0.0416666666666667,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",75,"kg",3.378378,1.5,"hr","blood","normalized",0.31,NA,"iv",14,0.036,NA,NA,TRUE,0.0625,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",75,"kg",3.378378,2,"hr","blood","normalized",0.19,NA,"iv",14,0.036,NA,NA,TRUE,0.0833333333333333,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",75,"kg",3.378378,3,"hr","blood","normalized",0.08,NA,"iv",14,0.036,NA,NA,TRUE,0.125,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",73,"kg",3.378378,0.16666,"hr","blood","normalized",3.06,NA,"iv",14,0.036,NA,NA,TRUE,0.00694416666666667,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",73,"kg",3.378378,0.33333,"hr","blood","normalized",2.09,NA,"iv",14,0.036,NA,NA,TRUE,0.01388875,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",73,"kg",3.378378,0.66666,"hr","blood","normalized",1.18,NA,"iv",14,0.036,NA,NA,TRUE,0.0277775,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",73,"kg",3.378378,1,"hr","blood","normalized",0.92,NA,"iv",14,0.036,NA,NA,TRUE,0.0416666666666667,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",73,"kg",3.378378,1.5,"hr","blood","normalized",0.82,NA,"iv",14,0.036,NA,NA,TRUE,0.0625,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",73,"kg",3.378378,2,"hr","blood","normalized",0.59,NA,"iv",14,0.036,NA,NA,TRUE,0.0833333333333333,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",73,"kg",3.378378,3,"hr","blood","normalized",0.33,NA,"iv",14,0.036,NA,NA,TRUE,0.125,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",73,"kg",3.378378,4,"hr","blood","normalized",0.15,NA,"iv",14,0.036,NA,NA,TRUE,0.166666666666667,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",87,"kg",3.378378,0.16666,"hr","blood","normalized",2.61,NA,"iv",14,0.036,NA,NA,TRUE,0.00694416666666667,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",87,"kg",3.378378,0.33333,"hr","blood","normalized",1.77,NA,"iv",14,0.036,NA,NA,TRUE,0.01388875,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",87,"kg",3.378378,0.66666,"hr","blood","normalized",0.94,NA,"iv",14,0.036,NA,NA,TRUE,0.0277775,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",87,"kg",3.378378,1,"hr","blood","normalized",0.64,NA,"iv",14,0.036,NA,NA,TRUE,0.0416666666666667,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",87,"kg",3.378378,1.5,"hr","blood","normalized",0.46,NA,"iv",14,0.036,NA,NA,TRUE,0.0625,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",87,"kg",3.378378,2,"hr","blood","normalized",0.43,NA,"iv",14,0.036,NA,NA,TRUE,0.0833333333333333,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",87,"kg",3.378378,3,"hr","blood","normalized",0.22,NA,"iv",14,0.036,NA,NA,TRUE,0.125,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",76,"kg",3.378378,0.16666,"hr","blood","normalized",1.86,NA,"iv",14,0.036,NA,NA,TRUE,0.00694416666666667,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",76,"kg",3.378378,0.33333,"hr","blood","normalized",1.08,NA,"iv",14,0.036,NA,NA,TRUE,0.01388875,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",76,"kg",3.378378,0.66666,"hr","blood","normalized",0.98,NA,"iv",14,0.036,NA,NA,TRUE,0.0277775,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",76,"kg",3.378378,1,"hr","blood","normalized",0.66,NA,"iv",14,0.036,NA,NA,TRUE,0.0416666666666667,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",76,"kg",3.378378,1.5,"hr","blood","normalized",0.5,NA,"iv",14,0.036,NA,NA,TRUE,0.0625,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",76,"kg",3.378378,2,"hr","blood","normalized",0.21,NA,"iv",14,0.036,NA,NA,TRUE,0.0833333333333333,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",76,"kg",3.378378,3,"hr","blood","normalized",0.08,NA,"iv",14,0.036,NA,NA,TRUE,0.125,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",59,"kg",3.378378,0.16666,"hr","blood","normalized",3.42,NA,"iv",14,0.036,NA,NA,TRUE,0.00694416666666667,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
"phenacetin","DTXSID1021116","62-44-2","human","14",59,"kg",3.378378,0.33333,"hr","blood","normalized",2.62,NA,"iv",14,0.036,NA,NA,TRUE,0.01388875,0.166666666666667,6.00024000960038,64,TRUE,0.4181,1.44,0.91,2.18,1,1.2,0.8
